Compound_ID,Protein_ID,Label
DB01353,Q13002,1
DB08682,P16444,0
DB00726,P28221,1
DB04841,P34913,0
DB02110,P23219,1
DB07717,O43920,0
DB00493,Q16348,1
DB08599,P42126,0
DB07210,P24941,1
DB02232,Q14500,0
DB01278,O60894,1
DB04069,Q01234,0
DB04677,P27338,1
DB01472,P9WQB3,0
DB03106,P34024,1
DB07501,P11473,0
DB08220,Q15788,1
DB00252,P60906,0
DB03389,Q9ZB17,1
DB06964,Q9HTQ2,0
DB09130,P23415,1
DB09093,P48181,0
DB08032,P52732,1
DB03340,Q4KH25,0
DB12010,Q8IW41,1
DB14541,Q6FEW8,0
DB00609,P9WGR1,1
DB00459,P29372,0
DB04400,Q01782,1
DB03866,O43613,0
DB11638,Q8I4W4,1
DB06543,Q9UBS5,0
DB00503,O75469,1
DB04000,P02763,0
DB01224,P21918,1
DB00619,Q96L34,0
DB01992,Q9F6D4,1
DB02656,Q52437,0
DB06802,P23219,1
DB02491,P04156,0
DB00114,Q59FK2,1
DB08359,P04584,0
DB07876,P61925,1
DB06414,P00395,0
DB09089,Q01668,1
DB08472,Q6UWN8,0
DB03101,P00491,1
DB00982,Q86XF0,0
DB00170,P00742,1
DB02312,P02749,0
DB00241,Q13002,1
DB07676,Q9NR82,0
DB12695,Q71U36,1
DB02373,P22303,0
DB08776,O14757,1
DB03697,Q13748,0
DB08523,Q8DP79,1
DB12177,P13637,0
DB04272,P12724,1
DB06949,Q5SJ76,0
DB02196,P27828,1
DB08603,P16581,0
DB00843,P22303,1
DB08139,P47775,0
DB03461,P67910,1
DB03849,Q00534,0
DB00231,P18507,1
DB07637,P33527,0
DB13345,P08913,1
DB00769,P23827,0
DB00215,P28335,1
DB00471,O43613,0
DB11148,Q13698,1
DB01016,P28335,0
DB01593,P02787,1
DB03235,Q48152,0
DB07607,Q16539,1
DB08203,P61158,0
DB02911,P29474,1
DB03869,Q7KQL5,0
DB00350,P00797,1
DB08844,P13650,0
DB07418,P20581,1
DB03802,Q13885,0
DB03959,Q9Y663,1
DB00134,P30411,0
DB00370,P35348,1
DB08570,P35914,0
DB00979,P11229,1
DB07221,P38606,0
DB00387,P08173,1
DB01181,O14958,0
DB04749,Q79MP6,1
DB03830,P78334,0
DB03461,Q14914,1
DB01282,P0A9S1,0
DB00721,Q12791,1
DB06750,Q16760,0
DB12278,P11229,1
DB04638,O14756,0
DB00714,P28221,1
DB02822,Q02809,0
DB00135,P17735,1
DB02170,Q9BUB5,0
DB02404,P22303,1
DB00434,P77836,0
DB02592,Q6GGU4,1
DB06977,Q9PM68,0
DB06460,P25101,1
DB08773,Q9WYS2,0
DB03147,P0AEZ1,1
DB00470,O14976,0
DB01632,Q27796,1
DB01232,Q13936,0
DB09130,P01857,1
DB07767,P07225,0
DB03566,P08588,1
DB03821,O00591,0
DB09118,P47870,1
DB02797,Q97R46,0
DB01182,P07550,1
DB07750,Q08853,0
DB01104,Q99720,1
DB07407,P56740,0
DB04199,Q7DB61,1
DB02078,Q96I99,0
DB00171,P10398,1
DB04879,P41091,0
DB08208,Q02750,1
DB12483,P08631,0
DB12651,Q14790,1
DB03280,O60512,0
DB00321,P20309,1
DB11275,P9WQB3,0
DB01591,P08172,1
DB02379,P09417,0
DB00768,P35367,1
DB08033,Q13255,0
DB00408,P14416,1
DB01158,P29274,0
DB01142,P18089,1
DB00284,P0AEB3,0
DB01411,P19838,1
DB02061,P19821,0
DB00555,P41145,1
DB01420,P68344,0
DB06176,Q92769,1
DB02137,O07529,0
DB01589,P18505,1
DB03111,Q9NZV8,0
DB11638,P07195,1
DB00340,P0AEK7,0
DB08162,Q13464,1
DB04838,Q01693,0
DB01215,P34903,1
DB06994,P0AEB3,0
DB02345,P15531,1
DB04042,Q16790,0
DB00734,P35462,1
DB08620,O68600,0
DB07502,P07900,1
DB02452,P24666,0
DB08795,Q7CRA4,1
DB02227,P15086,0
DB04397,P36871,1
DB07055,P13647,0
DB03792,P07998,1
DB02367,P0A910,0
DB12695,P06753,1
DB03011,P07333,0
DB04071,P00326,1
DB14575,P84077,0
DB03304,P28720,1
DB01826,Q9Y6L7,0
DB02597,P00800,1
DB06858,P39304,0
DB01197,P09960,1
DB06905,Q9Y4K4,0
DB00393,Q13698,1
DB01980,P34903,0
DB11672,P37231,1
DB11723,Q9WYT0,0
DB08574,P55196,1
DB08521,O15511,0
DB00945,P54646,1
DB05479,Q92952,0
DB04032,P00183,1
DB14635,P48066,0
DB00393,Q08289,1
DB01273,P04964,0
DB08059,P42336,1
DB01032,P07451,0
DB07093,P15121,1
DB07996,Q96I15,0
DB02923,P0A108,1
DB04512,P31939,0
DB02161,P23141,1
DB07489,P35527,0
DB14011,O75762,1
DB04678,Q9H4B7,0
DB01639,P00509,1
DB02517,P56937,0
DB14501,P02786,1
DB04318,P08588,0
DB00157,Q02252,1
DB02227,P18548,0
DB00334,P08913,1
DB00890,P48048,0
DB02164,Q9UJM8,1
DB02486,Q5JVS0,0
DB02379,P49302,1
DB08669,P51151,0
DB14568,O75874,1
DB08689,Q9Y698,0
DB09195,P35368,1
DB05446,P43700,0
DB00721,Q9Y5Y9,1
DB04028,A1L3X4,0
DB00661,Q9P0X4,1
DB04509,Q8NEV4,0
DB09194,P20309,1
DB04492,P46925,0
DB00104,P30874,1
DB03223,Q9UBF8,0
DB08113,P61925,1
DB14014,Q01726,0
DB07939,P52700,1
DB01149,P68344,0
DB11275,P21918,1
DB01020,P45563,0
DB09288,P35354,1
DB05479,O00305,0
DB11672,O15440,1
DB06152,Q5G940,0
DB01030,Q969P6,1
DB01902,Q99624,0
DB06976,P24941,1
DB12093,P9WH69,0
DB08693,P17538,1
DB02434,Q92731,0
DB00615,P07900,1
DB07964,P02671,0
DB09244,P08908,1
DB04306,P0A927,0
DB03319,P42262,1
DB00932,P00147,0
DB02776,Q7SIG1,1
DB00116,A0A0H3JRU9,0
DB01577,P54219,1
DB11644,Q9FDN7,0
DB09195,P35367,1
DB02329,Q8P9V9,0
DB04450,Q9L6V3,1
DB04581,P06716,0
DB03597,O76083,1
DB01592,P00414,0
DB03247,Q01234,1
DB11660,P19624,0
DB00221,P07550,1
DB03389,Q8N5S9,0
DB01645,P04278,1
DB08031,P51957,0
DB02602,P00918,1
DB00823,P0CG47,0
DB03010,Q71U36,1
DB04839,P11488,0
DB11638,Q8I4R5,1
DB03344,P78352,0
DB03026,P32169,1
DB01010,P9WIQ1,0
DB06832,Q15788,1
DB04908,Q9UJ70,0
DB05171,Q96BI3,1
DB01589,P02766,0
DB03472,P0A9Z7,1
DB00205,P33981,0
DB04519,P0A953,1
DB00905,P77541,0
DB08000,P15121,1
DB07644,Q9BY66,0
DB08231,P43080,1
DB06856,Q5SKC5,0
DB07032,Q92731,1
DB03807,Q9Y666,0
DB01780,P62258,1
DB03044,P74334,0
DB00392,Q8TCU5,1
DB06538,Q96L21,0
DB01260,P04150,1
DB08628,P41439,0
DB01215,P47869,1
DB09295,P27958,0
DB00811,P20839,1
DB01685,Q9H853,0
DB00677,P06276,1
DB03860,P78356,0
DB09050,Q51504,1
DB03231,Q96A70,0
DB01004,P04293,1
DB01800,Q15102,0
DB01593,P02795,1
DB02805,Q81L49,0
DB01607,C1KC03,1
DB04404,P15559,0
DB01586,P52895,1
DB01024,Q6TME4,0
DB01708,Q99720,1
DB01332,P60355,0
DB12010,P07332,1
DB08458,Q6GII7,0
DB00999,P00915,1
DB07895,Q9GZR5,0
DB01752,P07801,1
DB01520,P0AFU8,0
DB04149,Q08499,1
DB05708,P25105,0
DB07680,P23946,1
DB07501,Q9UGM6,0
DB02553,P00390,1
DB02694,Q96KG9,0
DB08375,Q47066,1
DB00302,P0A876,0
DB05642,P23975,1
DB05714,Q99062,0
DB00514,P41145,1
DB08514,P45983,0
DB04505,P07900,1
DB00494,P54619,0
DB08453,P83792,1
DB02969,P14854,0
DB00625,Q72547,1
DB04295,F1L7U3,0
DB13083,O43174,1
DB07014,Q8IJA9,0
DB01028,Q8N1C3,1
DB00837,Q89ZI2,0
DB01028,Q99928,1
DB07751,P0A2W7,0
DB12010,Q8N568,1
DB07737,Q8MU52,0
DB01295,P08588,1
DB04734,Q93LE9,0
DB09286,P41595,1
DB07572,P0A6Q3,0
DB03963,P12497,1
DB06070,Q9HB55,0
DB01767,P07477,1
DB00394,Q7DHH4,0
DB12742,P36888,1
DB09050,Q9P0Z9,0
DB01882,P0A078,1
DB02451,P02931,0
DB05492,P41146,1
DB07464,P03886,0
DB00363,P20309,1
DB00354,Q9NR97,0
DB08443,P07900,1
DB08400,Q8II92,0
DB02669,P00800,1
DB07378,P46940,0
DB06586,P16233,1
DB03352,P08684,0
DB00458,P08173,1
DB12129,P10845,0
DB01399,P23219,1
DB07030,Q9P0J0,0
DB03374,P07477,1
DB08065,P06744,0
DB02709,P03372,1
DB04469,P51553,0
DB00195,P08588,1
DB08508,P16100,0
DB03435,P09148,1
DB14541,P83791,0
DB02318,Q16706,1
DB01915,P20831,0
DB01580,P08588,1
DB09123,Q7B8V4,0
DB00590,P35348,1
DB01171,P18465,0
DB01942,Q7DC80,1
DB02551,Q8IJ60,0
DB09238,O43497,1
DB08237,O32248,0
DB00555,P08588,1
DB04638,P11766,0
DB02400,P15559,1
DB01000,Q51366,0
DB02266,P37231,1
DB07805,Q23022,0
DB02988,P14920,1
DB00174,P27348,0
DB00369,P08546,1
DB14034,Q02779,0
DB00571,P28222,1
DB07301,P01133,0
DB13949,P07822,1
DB08329,Q9UM07,0
DB01822,P12256,1
DB07232,P61987,0
DB04310,Q8NX78,1
DB07430,P35094,0
DB08897,P08912,1
DB04616,P00436,0
DB08167,P22303,1
DB13092,P15170,0
DB07759,P0AE18,1
DB01726,P02786,0
DB00936,P35354,1
DB07893,P84888,0
DB01942,P9WKE9,1
DB06892,Q9X112,0
DB00114,Q9UJX1,1
DB08382,P32239,0
DB00174,Q99624,1
DB04130,P19938,0
DB04634,P13901,1
DB02066,P41594,0
DB03935,P08758,1
DB02961,Q8TCC7,0
DB01394,P07437,1
DB06964,P38435,0
DB03709,P41052,1
DB03845,P98002,0
DB03619,Q8TDU6,1
DB03231,Q8IIR9,0
DB01198,P30536,1
DB04930,P44490,0
DB01742,P62937,1
DB00887,Q14994,0
DB03544,P69795,1
DB08733,Q8IM15,0
DB01439,P41143,1
DB04416,A0A0M3KKX1,0
DB04797,Q16539,1
DB07910,Q9Y5S8,0
DB03147,P9WIQ1,1
DB07054,Q8GJ44,0
DB00201,P35913,1
DB00194,Q92831,0
DB03717,P07986,1
DB03388,P06310,0
DB02852,Q13002,1
DB03380,P23905,0
DB08235,O15511,1
DB04144,P07003,0
DB00160,Q7Z2H8,1
DB01626,P11586,0
DB07747,P11086,1
DB04725,Q44048,0
DB08399,P36542,1
DB02508,Q8NBN7,0
DB07393,P00390,1
DB07074,Q7Z2H8,0
DB04682,P02585,1
DB04782,O75600,0
DB09089,Q02641,1
DB01915,P16113,0
DB03309,P50597,1
DB01325,Q57193,0
DB09123,P10275,1
DB05667,P96558,0
DB00622,P11229,1
DB07645,P0AG16,0
DB04533,Q05603,1
DB06512,Q8GN86,0
DB01752,P07617,1
DB02388,Q14542,0
DB00863,P22303,1
DB02752,P54886,0
DB14533,P29372,1
DB07206,Q4U2R8,0
DB08462,P12931,1
DB06899,Q9X0F9,0
DB07811,Q16539,1
DB03993,P0A6A8,0
DB08214,P35228,1
DB02092,P35610,0
DB00806,Q07343,1
DB08623,Q9ZEU2,0
DB00418,Q16445,1
DB00195,Q8SPQ9,0
DB00786,P14780,1
DB08573,P33447,0
DB00157,O43676,1
DB08310,P60174,0
DB03904,P05089,1
DB12278,P0A6Q3,0
DB02379,P0C2S5,1
DB03769,Q66282,0
DB00157,P49448,1
DB07051,O60733,0
DB07159,P43405,1
DB11584,P00338,0
DB05492,P35348,1
DB03222,Q06278,0
DB00721,Q86W47,1
DB04502,P48736,0
DB03128,P20309,1
DB00264,Q9KU37,0
DB00182,P27338,1
DB04885,P23246,0
DB14491,P02786,1
DB04890,P20248,0
DB05009,P29274,1
DB08327,P04391,0
DB09304,P28335,1
DB07348,Q96EB6,0
DB08517,Q5G940,1
DB01935,Q16795,0
DB14001,O76054,1
DB02969,P0AFB1,0
DB00363,P28566,1
DB08160,P32238,0
DB06176,Q13547,1
DB04760,P07602,0
DB07972,P9WPN5,1
DB02999,Q93LQ9,0
DB01003,Q12791,1
DB07428,P23415,0
DB08499,P42574,1
DB07668,Q9L5C8,0
DB00157,P00387,1
DB02773,P62807,0
DB02087,P00918,1
DB07008,Q5LRQ9,0
DB05511,P0DMS8,1
DB01852,Q86YV6,0
DB00759,P04156,1
DB08865,P09467,0
DB01895,P36419,1
DB03808,Q02127,0
DB08191,O00141,1
DB08755,Q2M2I8,0
DB03147,P77967,1
DB01411,P26918,0
DB00555,Q99250,1
DB02097,Q15722,0
DB02749,P05042,1
DB07723,P11413,0
DB03876,P07477,1
DB02959,P18825,0
DB00679,P21728,1
DB02311,Q51948,0
DB00189,P18507,1
DB04546,P03372,0
DB06953,P49356,1
DB07251,P30793,0
DB01992,P39135,1
DB04757,Q13873,0
DB02010,P41240,1
DB08309,Q9ULC6,0
DB00909,P35498,1
DB03767,O94788,0
DB03607,P00780,1
DB08227,Q9AGP8,0
DB09229,O60840,1
DB00138,Q92952,0
DB01254,P09619,1
DB01436,P0A988,0
DB09262,P20309,1
DB00652,Q9KVB4,0
DB11949,P25103,1
DB01296,Q9H169,0
DB08185,P62661,1
DB07785,P07288,0
DB02342,P21964,1
DB08556,Q0P8G4,0
DB03280,P03176,1
DB14060,O76083,0
DB01415,P0AD65,1
DB03586,P24474,0
DB00393,O00305,1
DB01233,Q9BXA7,0
DB00333,P19652,1
DB09183,Q5LRQ9,0
DB07540,P24941,1
DB08061,P00803,0
DB11638,P04350,1
DB02979,Q59FW3,0
DB14487,Q0VD83,1
DB03018,P0A0N4,0
DB06216,P47898,1
DB02838,P29498,0
DB00800,P08913,1
DB02704,O95169,0
DB01917,P11926,1
DB04345,P09172,0
DB08839,O95264,1
DB01737,P46439,0
DB01238,P21917,1
DB07308,Q01959,0
DB11638,Q8IHS5,1
DB07689,P80377,0
DB00171,Q9NUB1,1
DB06354,Q93088,0
DB08746,P00742,1
DB01086,P23415,0
DB03811,P06988,1
DB02783,Q9UHC9,0
DB02746,P03372,1
DB08582,Q9AIU0,0
DB01155,P43700,1
DB03640,Q71U36,0
DB03205,Q46444,1
DB08640,P04818,0
DB03755,P15925,1
DB02851,Q96BR1,0
DB01083,P49327,1
DB07436,A5HEI4,0
DB06845,P07477,1
DB05885,P23467,0
DB04865,P20276,1
DB03075,Q9HUR5,0
DB11638,Q7KQM4,1
DB02834,P48066,0
DB04147,P0A915,1
DB04422,Q9ZNA2,0
DB08320,P03372,1
DB04643,P25774,0
DB13025,P41595,1
DB04008,Q16772,0
DB08325,Q12866,1
DB00158,Q02779,0
DB02083,P40859,1
DB05271,P28070,0
DB00370,P46098,1
DB01592,Q14894,0
DB01483,P48169,1
DB00944,P11086,0
DB05992,P01375,1
DB02899,P23827,0
DB04237,O67987,1
DB07313,Q5SKH6,0
DB09232,Q13698,1
DB03485,P23458,0
DB03986,P0ABP8,1
DB01616,Q46393,0
DB09205,P35348,1
DB05552,P0A8V6,0
DB08799,P35367,1
DB00764,Q5SKH7,0
DB03415,P11310,1
DB08525,Q9C0B1,0
DB09462,Q9NPH2,1
DB07634,P06312,0
DB07499,P03355,1
DB06234,Q9NY65,0
DB07968,P06737,1
DB08337,P03234,0
DB00308,P54289,1
DB03963,P14416,0
DB08749,P56817,1
DB02741,P21631,0
DB11157,P35908,1
DB01165,Q9NPA1,0
DB00717,P06401,1
DB08642,P02794,0
DB00311,P43166,1
DB03435,Q16445,0
DB00141,P51606,1
DB08384,Q9WZS7,0
DB08711,P51584,1
DB06969,Q9Y6M4,0
DB02262,Q53ZE5,1
DB07080,P11230,0
DB04033,Q9X5N2,1
DB03486,Q8IEN3,0
DB00393,Q13936,1
DB04653,P37802,0
DB01595,P28476,1
DB04349,Q6TGC4,0
DB04315,Q9Y6B6,1
DB08678,Q9X0L5,0
DB00482,O15530,1
DB08596,Q59FK2,0
DB07264,P28482,1
DB04786,Q81EW9,0
DB02451,P60063,1
DB06094,Q45135,0
DB03087,Q8WX39,1
DB04543,P08708,0
DB06830,O95749,1
DB02901,Q9UPY5,0
DB06729,P0AC13,1
DB07445,P17544,0
DB02494,Q9UHA3,1
DB03451,Q15031,0
DB03814,Q84FH6,1
DB00384,Q14978,0
DB00373,P07550,1
DB01326,Q746I8,0
DB00131,P06737,1
DB04434,P31572,0
DB01992,P43886,1
DB00116,Q96FQ6,0
DB00690,Q8N1C3,1
DB08294,P61927,0
DB01351,P36544,1
DB04772,Q9K597,0
DB03023,P06239,1
DB08624,P78536,0
DB02405,P09466,1
DB01988,P18505,0
DB00368,P18089,1
DB07673,P05451,0
DB08785,P16218,1
DB02873,P09669,0
DB03847,P00734,1
DB08574,P54886,0
DB04160,P06971,1
DB06940,Q06481,0
DB02723,P00734,1
DB02130,P52564,0
DB11638,P13827,1
DB01157,P23367,0
DB01752,Q8WTS6,1
DB02105,Q9UL51,0
DB00122,P36544,1
DB01089,P80297,0
DB00909,O60939,1
DB05399,Q8ILK3,0
DB02153,P77150,1
DB02178,P02919,0
DB03507,P19438,1
DB09089,Q00653,0
DB01437,P47869,1
DB01222,P13073,0
DB00637,P10636,1
DB08395,O34453,0
DB06266,P13569,1
DB07265,P07173,0
DB02128,P25779,1
DB04534,P0AG82,0
DB06148,P31645,1
DB01303,Q96AE4,0
DB07662,P12931,1
DB07900,Q9NUB1,0
DB08143,P00742,1
DB03141,P25024,0
DB02066,P0ABP8,1
DB09080,P28335,0
DB02877,P10826,1
DB08721,P08235,0
DB00246,P35368,1
DB00163,P13612,0
DB08631,P11086,1
DB07368,O68601,0
DB09205,P35368,1
DB04265,O43674,0
DB03751,Q9ZGH3,1
DB03097,Q820T1,0
DB00303,P45059,1
DB02911,L0DSL2,0
DB08522,Q16539,1
DB02538,Q92911,0
DB04028,P12528,1
DB07071,P0AEB3,0
DB04856,P32238,1
DB07337,Q9X112,0
DB00135,P54577,1
DB05015,Q16790,0
DB01252,Q09428,1
DB04690,P44868,0
DB02180,O60551,1
DB00230,Q99808,0
DB01107,Q8N1C3,1
DB08108,P00747,0
DB11219,P10275,1
DB08003,Q9ZF99,0
DB07778,P14927,1
DB09327,P08373,0
DB09130,P26447,1
DB00567,A5X5Y0,0
DB09130,P35527,1
DB01204,P56601,0
DB13025,Q70Z44,1
DB08305,Q27738,0
DB00410,P41972,1
DB08613,P42338,0
DB00282,P14324,1
DB11738,P67870,0
DB11638,Q8I5G6,1
DB11587,P30920,0
DB00661,O43497,1
DB04569,P51857,0
DB02264,P14210,1
DB03227,Q15825,0
DB13146,Q9UM01,1
DB00591,P43700,0
DB00172,P45877,1
DB07975,Q9HAN9,0
DB06603,Q92769,1
DB07882,P51178,0
DB03499,P23368,1
DB02742,P27958,0
DB01115,O95180,1
DB06934,P09960,0
DB00907,Q99720,1
DB13044,Q9I5F3,0
DB03751,P26391,1
DB04577,P13637,0
DB06963,P53350,1
DB14499,Q7WUJ1,0
DB02994,P11488,1
DB03228,P0A6E4,0
DB14006,Q8TCT1,1
DB08234,O31410,0
DB07317,P07900,1
DB02041,P11759,0
DB04137,P84077,1
DB11623,P21638,0
DB01954,Q07343,1
DB01726,P32929,0
DB02795,Q9NZK7,1
DB00581,P07097,0
DB01805,P07478,1
DB09241,P11717,0
DB00129,P05089,1
DB00505,O96221,0
DB03135,P60174,1
DB07691,P0A006,0
DB00461,P23219,1
DB06083,P40616,0
DB14491,Q969S2,1
DB03510,P80373,0
DB00477,P19652,1
DB02581,Q9RC92,0
DB01582,P0AC13,1
DB07109,Q16769,0
DB03461,Q08257,1
DB00239,P16455,0
DB01708,P22637,1
DB03376,P53350,0
DB00190,P20711,1
DB01167,Q9NPD5,0
DB01593,P00734,1
DB03141,P08183,0
DB01593,P02766,1
DB04086,P30419,0
DB02651,P18031,1
DB03005,Q96AE4,0
DB00116,Q53ET4,1
DB06963,P27487,0
DB01942,P39841,1
DB04205,P25006,0
DB01982,Q9KWT6,1
DB03296,P52895,0
DB00171,Q07912,1
DB00376,Q99705,0
DB04395,Q9RA63,1
DB02644,Q81R22,0
DB00929,P43116,1
DB03468,O95644,0
DB01303,Q92769,1
DB01278,Q9Y345,0
DB00909,Q8N1Q1,1
DB04574,O43519,0
DB07763,Q9UDW1,1
DB01956,Q14494,0
DB00188,P20618,1
DB11632,P63098,0
DB00334,P18505,1
DB01297,Q79G13,0
DB02098,P07998,1
DB02841,Q5SIR5,0
DB01069,P20309,1
DB08456,Q72LA4,0
DB00570,Q71U36,1
DB07921,Q9Y2T6,0
DB01088,P27815,1
DB05105,P23469,0
DB02659,P00414,1
DB06916,P19404,0
DB13174,P09917,1
DB07684,Q7KQK0,0
DB14487,P05546,1
DB03512,Q03013,0
DB00898,Q14542,1
DB07783,Q92598,0
DB07804,P00742,1
DB02779,P00692,0
DB00540,P20309,1
DB08781,O60882,0
DB00463,O00591,1
DB07508,P56937,0
DB02701,P11439,1
DB03765,Q9H015,0
DB12965,P04732,1
DB03301,Q76NN7,0
DB02452,P07071,1
DB07280,P41021,0
DB03461,Q9X022,1
DB03721,Q9UKG9,0
DB08562,P01615,1
DB00802,P61497,0
DB01819,P13929,1
DB08408,P54687,0
DB01110,Q9UGI6,1
DB00322,P0C0T5,0
DB00363,P18825,1
DB05913,Q3J170,0
DB04338,P28482,1
DB07956,P13100,0
DB09014,P28335,1
DB07647,Q9WYV8,0
DB04841,O95180,1
DB04632,P02741,0
DB07574,Q71U36,1
DB04325,Q02156,0
DB06603,Q9UQL6,1
DB00998,P51693,0
DB01224,P08913,1
DB07788,P04062,0
DB01612,P16066,1
DB04241,Q46220,0
DB01329,P0AD69,1
DB07629,P40939,0
DB02580,A7B6P0,1
DB02042,Q6N063,0
DB00241,P18507,1
DB06124,O00222,0
DB01782,Q9UQF2,1
DB03254,P15056,0
DB14533,P81605,1
DB03196,Q8IHS5,0
DB02261,P17900,1
DB11831,O77361,0
DB02446,P17169,1
DB02532,P0A915,0
DB02709,Q86T13,1
DB07851,P03692,0
DB00543,P31644,1
DB00683,Q9UJ68,0
DB06229,P28335,1
DB04732,P07617,0
DB00246,P18089,1
DB03481,Q05599,0
DB02371,P09871,1
DB00334,P14416,1
DB09229,O15067,0
DB00659,P18507,1
DB02933,P22001,0
DB02622,P18031,1
DB03963,Q9Y277,0
DB06216,P50406,1
DB03095,P0A6Q3,0
DB01972,P00497,1
DB02009,P18858,0
DB00551,P18314,1
DB03489,Q96RJ0,0
DB06757,P05089,1
DB08384,Q9Y691,0
DB09227,Q13936,1
DB02485,P41022,0
DB00956,P35372,1
DB03685,P60327,0
DB05458,P17787,1
DB08247,P01593,0
DB01054,Q13698,1
DB07704,P0A884,0
DB00481,P03372,1
DB03843,P21430,0
DB00358,P69905,1
DB00956,Q99497,0
DB02869,O60911,1
DB01324,Q8ZKF6,0
DB07128,P00734,1
DB01367,P02647,0
DB08689,Q99643,1
DB06730,P69488,0
DB00142,Q13003,1
DB02706,O75636,0
DB03147,Q16795,1
DB00384,P03372,0
DB02761,Q5SJI0,1
DB04824,Q5RT80,0
DB03467,Q9P2N6,1
DB00624,Q6PEY2,0
DB04095,P9WP01,1
DB00548,P0DOY7,0
DB01588,Q99928,1
DB07123,Q99808,0
DB12010,Q14012,1
DB03732,P0C0X8,0
DB11858,Q9NS75,1
DB04769,P22557,0
DB05399,P19320,1
DB00804,P12724,0
DB00163,P67775,1
DB07487,P12268,0
DB03073,P09874,1
DB08763,Q5SHF5,0
DB00794,P31644,1
DB08232,Q13509,0
DB08839,P28223,1
DB02428,P0A6E4,0
DB03077,P01556,1
DB00674,P00739,0
DB02061,P37700,1
DB04320,P34896,0
DB00897,Q9UN88,1
DB14528,P09546,0
DB12010,P54619,1
DB03929,O14983,0
DB06148,P35367,1
DB06836,P04424,0
DB00170,P00734,1
DB07875,P0C2P0,0
DB01949,P14780,1
DB00358,Q9WZS7,0
DB14050,O75762,1
DB02751,P39023,0
DB07525,P11362,1
DB02127,P08069,0
DB04967,P27695,1
DB01303,P52045,0
DB09304,P28221,1
DB04838,Q27743,0
DB13025,P28221,1
DB01098,P18507,0
DB11855,P11229,1
DB03979,P80099,0
DB06923,P07477,1
DB02422,Q14565,0
DB00321,P23975,1
DB13269,O95831,0
DB14481,P0DP25,1
DB01217,Q5SJH3,0
DB00114,Q9Y617,1
DB02243,P48449,0
DB03222,P03692,1
DB02393,Q72547,0
DB13170,P33402,1
DB01978,P36204,0
DB00370,P41595,1
DB08781,P21917,0
DB03203,P03303,1
DB03237,Q02224,0
DB00626,P01023,1
DB05624,P50416,0
DB02032,P26918,1
DB03433,P04075,0
DB02377,P45563,1
DB02053,P39900,0
DB12010,P54760,1
DB08019,Q9WZW1,0
DB00142,O43424,1
DB01186,O75390,0
DB04147,P06010,1
DB02727,P31939,0
DB08073,P31751,1
DB02967,Q13554,0
DB01593,P13647,1
DB02009,P83453,0
DB00984,P10275,1
DB01779,P06753,0
DB01403,P21728,1
DB04481,P30901,0
DB06838,P00734,1
DB08600,Q14957,0
DB11093,Q86UW7,1
DB01167,Q08638,0
DB03461,P46336,1
DB01252,O00303,0
DB04560,P13716,1
DB07234,P19429,0
DB00464,P07225,1
DB02537,P23528,0
DB07413,Q79FX8,1
DB03189,P9WPQ5,0
DB01588,P18507,1
DB01622,P51692,0
DB00206,O15392,1
DB00548,P23083,0
DB00328,P35354,1
DB04472,P07737,0
DB01558,P24046,1
DB06828,A5X5Y0,0
DB02843,P26276,1
DB01244,Q75N90,0
DB03247,P30197,1
DB04751,C0H546,0
DB09099,P32745,1
DB04852,P0A8D6,0
DB00769,P04150,1
DB08610,O15239,0
DB00328,Q9Y5Y4,1
DB08444,Q9X1H9,0
DB12455,P0AG59,1
DB07412,P13650,0
DB04137,Q8N142,1
DB07931,P22061,0
DB00898,Q13936,1
DB02153,Q8TCG2,0
DB11619,P04278,1
DB00130,P01619,0
DB11217,P14679,1
DB00659,P25006,0
DB08742,P11473,1
DB03500,Q16816,0
DB00167,P54687,1
DB03240,P07333,0
DB01288,P07550,1
DB04099,Q96EN8,0
DB03219,Q54527,1
DB02965,P0DOY6,0
DB04310,P68771,1
DB07995,Q9BW91,0
DB09389,P06401,1
DB09061,P0A8V6,0
DB04716,P23458,1
DB01367,P03007,0
DB00273,P48169,1
DB02562,P80192,0
DB14533,P19823,1
DB04140,Q15238,0
DB11638,Q8IJT2,1
DB07842,Q5JAM2,0
DB07569,P10614,1
DB01822,Q99571,0
DB04647,P0AEB3,1
DB08021,A8MPY1,0
DB03918,P29474,1
DB01683,Q9RUZ0,0
DB04896,P31645,1
DB07531,P11230,0
DB00246,P21728,1
DB06543,Q6UX15,0
DB13164,P00533,1
DB04081,P50859,0
DB08329,P00918,1
DB08715,Q9HYN5,0
DB05964,P23975,1
DB05812,P07195,0
DB07401,P00156,1
DB13751,Q9UJ68,0
DB03019,P24941,1
DB05966,Q8ILV2,0
DB00171,P37023,1
DB07742,Q9WYT0,0
DB12010,P09769,1
DB00558,Q04917,0
DB12010,Q99759,1
DB04328,P13661,0
DB12010,Q00532,1
DB03147,P63092,0
DB02140,Q9Y6F1,0
DB07522,P00734,1
DB13869,P11177,0
DB03435,Q8T8E9,1
DB07343,O14949,0
DB08901,P11274,1
DB08119,Q9F0I5,0
DB03273,P23526,1
DB07516,P09874,0
DB01752,P44868,1
DB08890,P02974,0
DB03554,Q12882,1
DB14642,P17302,0
DB06932,O15530,1
DB03588,P20581,0
DB01846,O06644,1
DB01872,P08048,0
DB01961,P07998,1
